,HospitalDirectory,HospitalPrice
2043,/Users/ryanripper/Downloads/2019/Redwood Memorial Hospital,351
2044,/Users/ryanripper/Downloads/2019/Redwood Memorial Hospital,351
26,/Users/ryanripper/Downloads/2019/Arrowhead Regional Medical Center,1903
5168,/Users/ryanripper/Downloads/2019/Arrowhead Regional Medical Center,01.4680
26,/Users/ryanripper/Downloads/2019/John F Kennedy Memorial Hospital,6613.53
26,/Users/ryanripper/Downloads/2019/Marian Medical Center,2426
26,/Users/ryanripper/Downloads/2019/Marian Medical Center,2426
19,/Users/ryanripper/Downloads/2019/Sutter Tracy Community Memorial Hospital,2674
26,/Users/ryanripper/Downloads/2019/Regional Medical Center of San Jose,
33,/Users/ryanripper/Downloads/2019/Regional Medical Center of San Jose,70450
9596,/Users/ryanripper/Downloads/2019/Regional Medical Center of San Jose,
4227,/Users/ryanripper/Downloads/2019/Olympia Medical Center,1453.0
25,/Users/ryanripper/Downloads/2019/Emanuel Medical Center,7773.09
25,/Users/ryanripper/Downloads/2019/Kaiser Foundation Hospital - Baldwin Park,70450
25,/Users/ryanripper/Downloads/2019/Heritage Oaks Hospital,
26,/Users/ryanripper/Downloads/2019/East Los Angeles Doctors Hospital,4240.47
26,/Users/ryanripper/Downloads/2019/Scripps Green Hospital,908
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Rehab Hospital - Vallejo,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Rehab Hospital - Vallejo,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Rehab Hospital - Vallejo,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Rehab Hospital - Vallejo,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Rehab Hospital - Vallejo,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Rehab Hospital - Vallejo,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Rehab Hospital - Vallejo,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Rehab Hospital - Vallejo,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Rehab Hospital - Vallejo,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Rehab Hospital - Vallejo,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Rehab Hospital - Vallejo,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Rehab Hospital - Vallejo,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Rehab Hospital - Vallejo,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Rehab Hospital - Vallejo,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Rehab Hospital - Vallejo,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Rehab Hospital - Vallejo,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Rehab Hospital - Vallejo,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Rehab Hospital - Vallejo,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Rehab Hospital - Vallejo,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Rehab Hospital - Vallejo,2500
26,/Users/ryanripper/Downloads/2019/Kaiser Foundation Rehab Hospital - Vallejo,2500
21,/Users/ryanripper/Downloads/2019/Adventist Health Tulare,2581.56
26,/Users/ryanripper/Downloads/2019/Kindred Hospital - Baldwin Park,2776.2
8232,/Users/ryanripper/Downloads/2019/Kindred Hospital - Baldwin Park,28314537770
25,/Users/ryanripper/Downloads/2019/Mission Regional Medical Center,3140
3506,/Users/ryanripper/Downloads/2019/Mission Regional Medical Center,351
3507,/Users/ryanripper/Downloads/2019/Mission Regional Medical Center,351
