,HospitalName,HospitalPrice_70450,ZipCode,MedIncome,MeanIncome
211,Jerold Phelps Community Hospital,810.0,95542,30505,62751
212,Dameron Hospital,23.0,95203,44922,59761
213,St Mary Medical Center - Apple Valley,3342.0,92307,60732,82610
214,St Joseph Hospital - Orange,3516.5,92868,64949,84083
215,Tahoe Forest Hospital,1691.0,96161,98924,139731
216,Woodland Memorial Hospital,4604.0,95695,64390,90858
217,Aurora Vista del Mar Hospital,,93001,68356,88438
218,Kindred Hospital - Rancho,1950.0,91730,72995,84439
219,South Coast Global Medical Center,801.24,92704,69272,86316
220,Alvarado Hospital,2999.9,92120,97747,124451
221,Parkview Community Hospital,3423.314819,92503,71542,86712
222,Antelope Valley Hospital,610.0,93534,41537,51358
223,Loma Linda University Childrens Hospital,5000.0,92354,57855,77409
224,Cedars-Sinai Medical Center,,90048,100586,148754
225,Fresno Surgical Hospital,,93710,51605,64675
226,Kaiser Foundation Hospital - Fremont,2500.0,94538,112473,133080
227,Loma Linda University Medical Center,5000.0,92354,57855,77409
228,Memorial Hospital - Modesto,2674.0,95355,66719,86686
229,Adventist Health Lodi Memorial,1106.0,95240,50992,70505
230,George L Mee Memorial Hospital,4652.0,93930,54605,69465
231,El Centro Regional Medical Center,3116.0,92243,48290,67739
232,Alta Bates-Summit Med Ctr-Alta Bates Campus,3294.0,94705,125104,197179
233,Riverside Community Hospital,8776.25,92501,61630,75868
234,Fairchild Medical Center,1697.85,96097,44782,60172
235,Patients Hospital of Redding,,96001,55821,78446
236,Kaiser Foundation Hospital - Woodland Hills,,91367,96085,128000
237,Mission Community Hospital - Panorama,3932.0,91402,45796,61057
238,Barlow Respiratory Hospital,,90026,65269,91250
239,Unversity of California Irvine Medical Center,,92668,,
240,Providence Tarzana Medical Center,825.0,91356,76929,130602
241,Sutter Lakeside Hospital,3294.0,95453,49690,75682
242,Sutter Amador Hospital,2674.0,95642,62083,77627
243,Providence Holy Cross Medical Center,908.0,91345,77273,89107
244,Scripps Mercy Hospital,908.0,92103,78720,111680
245,OConnor Hospital,696.0,95128,93455,127726
246,St Marys Medical Center - San Francisco,3268.0,94117,170211,210952
247,Corona Regional Medical Center,4913.0,92882,80424,97751
248,Chinese Hospital,1968.0,94133,69756,128389
249,Kaiser Foundation Hospital - Downey,,90242,71233,85792
250,Lakewood Regional Medical Center,5806.8,90712,96634,108424
251,Scripps Memorial Hospital - Encinitas,908.0,92024,116616,166542
252,Adventist Health Reedley,2684.82,93654,50903,66299
253,Desert Valley Hospital,2947.0,92395,50404,66830
254,Providence Little Co. of Mary Med Ctr - San Pedro,3140.0,90732,104567,120512
255,Kaiser Foundation Hospital - Walnut Creek,2500.0,94596,109167,150289
256,Menlo Park Surgical Hospital,,94025,161827,240726
257,John Muir Medical Center - Concord Campus,1292.25,94520,60652,77753
258,Resnick Neuropsychiatric Hosp at UCLA,2500.0,90095,-,-
259,Coast Plaza Doctors Hospital,4240.47,90650,70667,83461
260,St Elizabeth Community Hospital,3291.0,96080,41316,62169
261,Redlands Community Hospital,5874.0,92373,78484,110297
262,City of Hope Helford Clinical Research Hospital,2791.0,91010,74738,96679
263,Del Amo Hospital,,90505,99764,126777
264,Mills-Peninsula Medical Center,3294.0,94010,152388,241645
265,Novato Community Hospital,3294.0,94945,120020,143816
266,Kaiser Foundation Hospital - South San Francisco,2500.0,94080,105600,129525
267,Kaiser Foundation Hospital - South Bay,,90710,63907,84138
268,St Mary Medical Center - Long Beach,2457.0,90804,52948,70607
269,Stanislaus Surgical Center,,95355,66719,86686
270,Casa Colina Hospital and Centers for Health Care,560.0,91767,62153,76865
271,Community Hospital of the Monterey Peninsula,2032.0,93940,85503,119664
272,Mercy Hospital - Bakersfield,,93301,33324,57233
273,Adventist Health Hanford,2684.82,93230,62239,79490
274,Saddleback Memorial Medical Center,3491.0,92653,101735,148950
275,St Joseph Medical Center - Stockton,6025.0,95204,53077,73276
276,Natividad Medical Center,3911.0,93901,64678,81944
277,Marshall Medical Center,,95667,71705,89529
278,Seton Medical Center,,94015,95541,118781
279,Shasta Regional Medical Center,,96001,55821,78446
280,San Ramon Regional Medical Center,7132.33,94583,152656,177617
281,Scripps Memorial Hospital - La Jolla,908.0,92037,109194,191008
282,Adventist Health Simi Valley,4231.74,93065,101102,127856
283,Long Beach Memorial Medical Center,3491.0,90807,78948,105802
284,San Leandro Hospital,3275.342153,94578,66450,85063
285,El Camino Hospital,4548.89,94040,139278,195189
286,Martin Luther King Jr Community Hospital,,90059,44838,56541
287,Seneca Healthcare District,2847.0,96020,61250,81117
288,Fountain Valley Regional Hospital,6875.33,92708,92301,117720
289,Providence Little Co. of Mary Med Ctr - Torrance,3140.0,90503,93063,117167
290,Highland Hospital,3252.665974,94602,95479,133103
291,Kern Valley Hospital,2399.28,93240,38951,52358
292,Providence St Johns Health Center,3007.0,90404,78542,115409
293,John Muir Medical Center - Walnut Creek Campus,1292.25,94598,154125,190564
294,Santa Rosa Memorial Hospital,1294.0,95405,89876,109470
295,Petaluma Valley Hospital,1282.0,94954,93849,115304
296,Kaiser Foundation Hospital - Vacaville,2500.0,95688,94863,115223
297,Menifee Valley Medical Center,2045.75,92585,73682,92969
298,Delano Regional Medical Center,1275.5,93215,43520,59382
299,St Johns Pleasant Valley Hospital,3039.0,93010,93534,121128
300,Los Robles Medical Center,,91360,100246,124232
301,Kaiser Foundation Hospital - Sacramento,2500.0,95825,40515,56125
302,Kaiser Foundation Hospital - San Rafael,2500.0,94903,105783,143879
303,Los Angeles Community Hospital,,90023,42972,54607
304,Kaiser Foundation Hospital - Panorama City,,91402,45796,61057
305,Childrens Hospital & Research Center at Oakland,4004.0,94618,167606,221546
306,Bakersfield Memorial Hospital,,93301,33324,57233
307,Kindred Hospital - Brea,1748.84,92821,91531,112103
308,Kindred Hospital - Westminster,,92683,62617,89346
309,Temecula Valley Hospital,3863.0,92592,105279,128328
310,Tri-City Medical Center,3018.0,92056,81583,98478
311,Kaiser Foundation Hospital - Riverside,,92505,70854,83366
312,USC-Kenneth Norris Cancer Hospital,1852.97,90033,38266,50344
313,UCSF Medical Center,2917.0,94143,,
314,Kaiser Foundation Hospital - Manteca-Modesto,2500.0,95356,70699,98106
315,Doctors Medical Center - Modesto,9324.93,95350,53604,70539
316,Ballard Rehabilitation Hospital,1952.75,92411,41984,55542
317,St Louise Regional Hospital,696.0,95020,102741,126454
