,name,beds,city,website
78,Children's Hospital of Orange County,334,Orange,https://www.ahd.com/free_profile/053304/Children%27s_Hospital_of_Orange_County/Orange/California/
79,Children's Hospital of Orange County at Mission,0,Mission Viejo,https://www.ahd.com/free_profile/053306/Children%27s_Hospital_of_Orange_County_at_Mission/Mission_Viejo/California/
80,Chinese Hospital,88,San Francisco,https://www.ahd.com/free_profile/050407/Chinese_Hospital/San_Francisco/California/
81,Chino Valley Medical Center,112,Chino,https://www.ahd.com/free_profile/050586/Chino_Valley_Medical_Center/Chino/California/
82,City of Hope Comprehensive Cancer Center,217,Duarte,https://www.ahd.com/free_profile/050146/City_of_Hope_Comprehensive_Cancer_Center/Duarte/California/
83,Clovis Community Medical Center,208,Clovis,https://www.ahd.com/free_profile/050492/Clovis_Community_Medical_Center/Clovis/California/
84,Coast Plaza Hospital,117,Norwalk,https://www.ahd.com/free_profile/050771/Coast_Plaza_Hospital/Norwalk/California/
85,College Hospital Cerritos,187,Cerritos,https://www.ahd.com/free_profile/054055/College_Hospital_Cerritos/Cerritos/California/
86,College Hospital Costa Mesa,122,Costa Mesa,https://www.ahd.com/free_profile/050543/College_Hospital_Costa_Mesa/Costa_Mesa/California/
87,College Medical Center,221,Long Beach,https://www.ahd.com/free_profile/050776/College_Medical_Center/Long_Beach/California/
88,Colorado River Medical Center,25,Needles,https://www.ahd.com/free_profile/051323/Colorado_River_Medical_Center/Needles/California/
89,Colusa Medical Center,52,Colusa,https://www.ahd.com/free_profile/050783/Colusa_Medical_Center/Colusa/California/
90,Community Hospital Long Beach,125,Long Beach,https://www.ahd.com/free_profile/050727/Community_Hospital_Long_Beach/Long_Beach/California/
91,Community Hospital of Huntington Park,86,Huntington Park,https://www.ahd.com/free_profile/050091/Community_Hospital_of_Huntington_Park/Huntington_Park/California/
92,Community Hospital of San Bernardino,347,San Bernardino,https://www.ahd.com/free_profile/050089/Community_Hospital_of_San_Bernardino/San_Bernardino/California/
93,Community Hospital of the Monterey Peninsula,286,Monterey,https://www.ahd.com/free_profile/050145/Community_Hospital_of_the_Monterey_Peninsula/Monterey/California/
94,Community Memorial Hospital,229,Ventura,https://www.ahd.com/free_profile/050394/Community_Memorial_Hospital/Ventura/California/
95,Community Regional Medical Center,851,Fresno,https://www.ahd.com/free_profile/050060/Community_Regional_Medical_Center/Fresno/California/
96,Concord Medical Center,244,Concord,https://www.ahd.com/free_profile/050496/Concord_Medical_Center/Concord/California/
97,Contra Costa Regional Medical Center,147,Martinez,https://www.ahd.com/free_profile/050276/Contra_Costa_Regional_Medical_Center/Martinez/California/
98,Corona Regional Medical Center,238,Corona,https://www.ahd.com/free_profile/050329/Corona_Regional_Medical_Center/Corona/California/
99,Cottage Rehabilitation Hospital,0,Santa Barbara,https://www.ahd.com/free_profile/I41664/Cottage_Rehabilitation_Hospital/Santa_Barbara/California/
100,County Of Humboldt Mental Health Branch,16,Eureka,https://www.ahd.com/free_profile/054124/County_Of_Humboldt_Mental_Health_Branch/Eureka/California/
101,CPMC Davies Campus,191,San Francisco,https://www.ahd.com/free_profile/050008/CPMC_Davies_Campus/San_Francisco/California/
102,CPMC Mission Bernal Campus,120,San Francisco,https://www.ahd.com/free_profile/050055/CPMC_Mission_Bernal_Campus/San_Francisco/California/
103,CPMC Van Ness Campus,0,San Francisco ,https://www.ahd.com/free_profile/I42270/CPMC_Van_Ness_Campus/San_Francisco_/California/
104,Dameron Hospital,170,Stockton,https://www.ahd.com/free_profile/050122/Dameron_Hospital/Stockton/California/
105,Del Amo Hospital,166,Torrance,https://www.ahd.com/free_profile/054053/Del_Amo_Hospital/Torrance/California/
106,Department of State Hospitals - Atascadero,0,Atascadero,https://www.ahd.com/free_profile/I07987/Department_of_State_Hospitals_-_Atascadero/Atascadero/California/
107,Department of State Hospitals-Patton,0,Patton,https://www.ahd.com/free_profile/I07945/Department_of_State_Hospitals-Patton/Patton/California/
108,Desert Regional Medical Center,370,Palm Springs,https://www.ahd.com/free_profile/050243/Desert_Regional_Medical_Center/Palm_Springs/California/
